"MANIP","P1","P2","P3","P4","P5","ANTAG.Mean","ANTAG.Median","ANTAG.Standard.Deviation","ANTAG.2.5..Value","ANTAG.97.5..Value","INHIB.Mean","INHIB.Median","INHIB.Standard.Deviation","INHIB.2.5..Value","INHIB.97.5..Value","SUBJECT"
-1.433,-0.111,1.235,1.082,0.919,-1.149,-0.941,-0.935,0.336,-1.608,-0.302,0.752,0.73,0.357,0.12,1.512,1
2.046,0.078,-0.148,0.817,0.313,1.662,1.132,1.129,0.371,0.407,1.851,0.002,0.002,0.339,-0.701,0.676,2
0.44,-0.034,-0.739,0.371,-0.946,-0.19,0.101,0.099,0.333,-0.556,0.735,-0.201,-0.181,0.335,-0.897,0.432,3
0.44,0.043,-1.174,0.95,-1.23,0.418,0.308,0.309,0.334,-0.336,0.971,-0.224,-0.2,0.372,-0.994,0.45,4
-0.898,-1.197,0.446,0.901,-1.23,-0.973,-0.809,-0.799,0.341,-1.492,-0.167,0.145,0.143,0.346,-0.537,0.833,5
-1.433,-0.896,-0.186,0.503,0.067,-0.845,-0.876,-0.865,0.33,-1.543,-0.262,0.142,0.141,0.322,-0.511,0.775,6
-0.095,-0.972,0.168,0.768,-0.218,-0.718,-0.445,-0.437,0.342,-1.149,0.206,0.151,0.148,0.33,-0.494,0.838,8
-0.898,-0.707,-0.857,-1.381,-1.552,-1.149,-0.621,-0.619,0.351,-1.326,0.068,-0.639,-0.63,0.347,-1.364,0.018,9
1.511,0.568,-1.688,-0.474,-1.638,1.662,1.203,1.196,0.356,0.542,1.924,-0.793,-0.768,0.386,-1.589,-0.118,10
-1.433,-0.636,0.603,1.264,1.166,-1.149,-1.006,-0.998,0.339,-1.696,-0.359,0.654,0.642,0.342,0.038,1.363,11
0.708,1.058,0.564,-0.969,0.635,0.624,0.599,0.595,0.332,-0.05,1.287,-0.013,-0.019,0.346,-0.679,0.703,12
1.511,-0.294,0.289,0.057,-0.786,1.438,0.879,0.88,0.357,0.177,1.576,-0.22,-0.211,0.333,-0.895,0.412,13
-1.701,-0.671,1.749,1.082,1.289,-0.973,-1.095,-1.088,0.338,-1.789,-0.435,0.865,0.847,0.383,0.189,1.661,14
0.44,-0.223,1.235,0.224,0.104,1.055,0.371,0.365,0.352,-0.322,1.078,0.219,0.202,0.336,-0.391,0.949,15
-1.433,-0.896,0.603,0.768,0.635,-0.366,-0.769,-0.767,0.338,-1.453,-0.118,0.409,0.396,0.325,-0.211,1.072,16
0.708,3.011,1.551,-0.39,1.783,-0.317,0.545,0.547,0.356,-0.18,1.257,0.664,0.639,0.424,-0.101,1.538,17
1.243,0.267,-1.212,-1.367,0.437,1.407,0.965,0.962,0.347,0.299,1.661,-0.634,-0.619,0.36,-1.374,0.036,18
-0.095,-0.034,0.762,0.14,1.289,-0.287,-0.196,-0.191,0.334,-0.886,0.445,0.37,0.347,0.341,-0.252,1.1,19
0.708,-1.197,1.315,0.901,1.536,0.065,-0.082,-0.077,0.36,-0.81,0.612,0.542,0.522,0.366,-0.119,1.331,20
-0.898,0.757,-0.503,-0.041,0.313,-1.149,-0.504,-0.496,0.355,-1.209,0.16,0.098,0.102,0.332,-0.572,0.747,21
-1.166,0.303,-0.541,0.454,-0.341,-0.463,-0.445,-0.448,0.354,-1.14,0.248,0.057,0.069,0.331,-0.636,0.696,22
1.511,2.521,0.009,0.817,1.659,2.142,1.482,1.465,0.378,0.777,2.239,0.402,0.393,0.337,-0.243,1.103,24
-1.433,-1.084,1.197,1.264,1.696,-1.149,-1.118,-1.118,0.342,-1.772,-0.462,0.804,0.788,0.363,0.148,1.571,25
-1.166,-0.447,-1.41,0.287,-0.057,-0.366,-0.514,-0.52,0.342,-1.158,0.165,-0.191,-0.164,0.348,-0.953,0.438,26
