"MANIP","P1","P2","P3","P4","P5","ANTAG.Mean","ANTAG.Median","ANTAG.Standard.Deviation","ANTAG.2.5..Value","ANTAG.97.5..Value","DISINHIB.Mean","DISINHIB.Median","DISINHIB.Standard.Deviation","DISINHIB.2.5..Value","DISINHIB.97.5..Value","SUBJECT"
-1.433,-0.111,-1.235,-1.082,-0.919,-1.149,-1.207,-1.205,0.435,-2.053,-0.341,-1.271,-1.27,0.55,-2.391,-0.182,1
2.046,0.078,0.148,-0.817,-0.313,1.662,1.599,1.599,0.455,0.697,2.494,-0.222,-0.23,0.579,-1.365,0.927,2
0.44,-0.034,0.739,-0.371,0.946,-0.19,0.12,0.122,0.434,-0.733,0.979,0.354,0.347,0.594,-0.779,1.553,3
0.44,0.043,1.174,-0.95,1.23,0.418,0.386,0.388,0.431,-0.48,1.234,0.351,0.372,0.683,-1.025,1.685,4
-0.898,-1.197,-0.446,-0.901,1.23,-0.973,-1.035,-1.03,0.427,-1.896,-0.189,-0.42,-0.431,0.577,-1.53,0.702,5
-1.433,-0.896,0.186,-0.503,-0.067,-0.845,-1.16,-1.154,0.44,-2.036,-0.306,-0.236,-0.239,0.566,-1.366,0.858,6
-0.095,-0.972,-0.168,-0.768,0.218,-0.718,-0.529,-0.518,0.448,-1.435,0.339,-0.409,-0.415,0.563,-1.508,0.681,8
-0.898,-0.707,0.857,1.381,1.552,-1.149,-0.952,-0.947,0.434,-1.816,-0.097,1.174,1.183,0.57,0.019,2.274,9
1.511,0.568,1.688,0.474,1.638,1.662,1.517,1.519,0.453,0.623,2.431,1.365,1.35,0.596,0.236,2.557,10
-1.433,-0.636,-0.603,-1.264,-1.166,-1.149,-1.3,-1.291,0.44,-2.186,-0.439,-1.13,-1.135,0.557,-2.25,-0.043,11
0.708,1.058,-0.564,0.969,-0.635,0.624,0.758,0.753,0.432,-0.106,1.602,0.105,0.107,0.616,-1.087,1.306,12
1.511,-0.294,-0.289,-0.057,0.786,1.438,1.232,1.24,0.444,0.331,2.092,0.112,0.108,0.557,-0.975,1.206,13
-1.701,-0.671,-1.749,-1.082,-1.289,-0.973,-1.366,-1.367,0.454,-2.27,-0.479,-1.585,-1.574,0.576,-2.75,-0.467,14
0.44,-0.223,-1.235,-0.224,-0.104,1.055,0.574,0.568,0.453,-0.295,1.479,-0.608,-0.606,0.595,-1.76,0.581,15
-1.433,-0.896,-0.603,-0.768,-0.635,-0.366,-0.979,-0.976,0.458,-1.861,-0.072,-0.777,-0.767,0.555,-1.888,0.279,16
0.708,3.011,-1.551,0.39,-1.783,-0.317,0.642,0.635,0.478,-0.293,1.581,-0.795,-0.809,0.674,-2.072,0.537,17
1.243,0.267,1.212,1.367,-0.437,1.407,1.249,1.241,0.442,0.373,2.12,1.114,1.123,0.562,-0.008,2.209,18
-0.095,-0.034,-0.762,-0.14,-1.289,-0.287,-0.204,-0.215,0.418,-1.032,0.621,-0.637,-0.625,0.563,-1.78,0.434,19
0.708,-1.197,-1.315,-0.901,-1.536,0.065,0.077,0.081,0.459,-0.835,0.959,-1.249,-1.248,0.566,-2.381,-0.143,20
-0.898,0.757,0.503,0.041,-0.313,-1.149,-0.754,-0.761,0.451,-1.635,0.145,0.108,0.116,0.561,-1.003,1.189,21
-1.166,0.303,0.541,-0.454,0.341,-0.463,-0.67,-0.678,0.448,-1.546,0.212,0.046,0.044,0.584,-1.079,1.2,22
1.511,2.521,-0.009,-0.817,-1.659,2.142,1.961,1.953,0.457,1.086,2.878,-0.512,-0.509,0.585,-1.651,0.634,24
-1.433,-1.084,-1.197,-1.264,-1.696,-1.149,-1.378,-1.369,0.442,-2.263,-0.52,-1.49,-1.476,0.552,-2.611,-0.426,25
-1.166,-0.447,1.41,-0.287,0.057,-0.366,-0.733,-0.733,0.444,-1.601,0.148,0.445,0.425,0.626,-0.737,1.709,26
-0.898,-0.181,0.86,1.563,0.094,-0.141,-0.438,-0.44,0.454,-1.306,0.464,1.028,1.029,0.574,-0.113,2.137,27
1.511,1.211,-0.801,-1.131,-0.239,1.183,1.329,1.329,0.449,0.448,2.198,-0.767,-0.772,0.557,-1.843,0.353,28
0.172,-0.223,0.148,-0.322,1.07,-0.542,-0.208,-0.207,0.446,-1.103,0.665,0.098,0.088,0.577,-1.033,1.276,29
-0.898,-0.223,-0.21,-0.454,-0.029,-0.542,-0.687,-0.687,0.438,-1.558,0.165,-0.367,-0.366,0.549,-1.462,0.726,30
0.975,1.318,-1.711,0.027,-0.362,-0.159,0.538,0.547,0.471,-0.376,1.449,-0.758,-0.752,0.642,-2.03,0.465,31
0.708,0.721,0.899,-0.371,1.107,1.152,0.941,0.935,0.436,0.111,1.82,0.503,0.492,0.61,-0.634,1.71,32
0.708,0.232,1.014,-0.008,0.502,-0.669,0.079,0.084,0.485,-0.879,1.003,0.528,0.51,0.595,-0.612,1.68,33
0.172,0.119,-1.197,-0.322,-0.276,0.32,0.193,0.199,0.428,-0.64,1.043,-0.696,-0.688,0.569,-1.829,0.407,34
1.243,-1.084,-0.248,-0.371,-0.19,-0.238,0.25,0.243,0.498,-0.7,1.226,-0.286,-0.292,0.547,-1.337,0.802,35
1.778,0.533,-0.13,1.151,1.07,2.24,1.851,1.851,0.459,0.95,2.757,0.789,0.798,0.611,-0.429,1.978,36
