"POSTEMP","EXHIB","ENTITL","DETACH","MPS_WBR","MPS_SPR","MPS_SCR","F1.Mean","F1.Median","F1.Standard.Deviation","F1.2.5..Value","F1.97.5..Value","F2.Mean","F2.Median","F2.Standard.Deviation","F2.2.5..Value","F2.97.5..Value","SUBJECT"
0.994,-1.522,-1.024,-0.139,0.444,-1.588,-0.074,0.209,0.193,0.143,-0.039,0.513,-0.129,-0.126,0.228,-0.594,0.345,1
-0.927,-0.525,-0.758,2.432,-1.23,-0.003,1.849,-0.428,-0.412,0.184,-0.836,-0.129,1.956,1.951,0.259,1.441,2.474,2
-0.228,-1.273,0.573,0.094,0.109,-1.588,-0.843,-0.049,-0.041,0.131,-0.335,0.205,-0.085,-0.056,0.249,-0.656,0.331,3
-1.102,0.721,0.573,0.328,-1.23,0.314,-0.074,-0.364,-0.349,0.167,-0.73,-0.09,0.239,0.245,0.225,-0.23,0.688,4
0.296,-1.023,-1.29,-0.841,0.779,-0.32,-0.843,0.15,0.139,0.133,-0.086,0.438,-0.725,-0.718,0.228,-1.215,-0.292,5
0.47,-0.774,-1.822,-0.841,0.779,-1.588,-0.843,0.168,0.158,0.134,-0.076,0.459,-0.721,-0.717,0.23,-1.198,-0.275,6
0.645,0.721,1.372,-0.607,0.779,0.948,-0.459,0.286,0.27,0.155,0.041,0.633,-0.517,-0.513,0.228,-0.986,-0.066,8
0.47,0.472,-0.225,-0.841,1.114,0.948,-0.843,0.278,0.262,0.156,0.032,0.628,-0.734,-0.728,0.223,-1.199,-0.304,9
-1.8,-0.276,-0.491,-0.373,-1.23,0.631,-0.074,-0.508,-0.495,0.205,-0.955,-0.164,-0.211,-0.222,0.232,-0.64,0.275,10
-1.626,-1.771,-1.822,-0.373,-1.23,-1.588,-0.843,-0.534,-0.526,0.215,-1.002,-0.166,-0.344,-0.339,0.232,-0.839,0.112,11
1.344,1.718,0.84,-0.841,0.779,1.265,-0.459,0.435,0.418,0.186,0.136,0.851,-0.69,-0.695,0.223,-1.144,-0.241,12
-0.054,0.971,0.307,-0.139,0.779,0.631,-0.843,0.128,0.118,0.14,-0.126,0.426,-0.255,-0.232,0.239,-0.794,0.169,13
0.82,-1.771,0.573,0.094,1.114,-0.637,-0.074,0.285,0.27,0.149,0.04,0.61,0.009,0.017,0.224,-0.464,0.446,14
1.169,0.721,-0.491,-0.607,0.779,-0.954,-0.074,0.34,0.328,0.158,0.087,0.687,-0.45,-0.464,0.229,-0.887,0.043,15
-0.054,-1.023,-0.225,-0.607,-0.225,-1.588,-0.843,-0.055,-0.044,0.131,-0.346,0.184,-0.543,-0.534,0.23,-1.026,-0.101,16
-1.451,-0.774,-0.491,2.432,-2.569,-2.222,3.003,-0.735,-0.715,0.276,-1.314,-0.251,2.178,2.144,0.296,1.678,2.858,17
-0.752,0.223,0.307,0.328,0.109,0.948,1.465,-0.129,-0.118,0.141,-0.434,0.127,0.467,0.43,0.271,0.027,1.084,18
0.645,1.718,0.307,-0.607,0.444,0.948,-0.459,0.237,0.221,0.146,0.001,0.561,-0.508,-0.513,0.22,-0.954,-0.066,19
0.82,0.223,1.372,-0.139,0.109,-0.003,-0.843,0.204,0.189,0.143,-0.039,0.508,-0.265,-0.242,0.243,-0.814,0.156,20
0.82,-0.774,-1.29,-0.607,1.114,-2.222,-1.228,0.279,0.268,0.145,0.035,0.596,-0.644,-0.625,0.244,-1.186,-0.216,21
-1.626,0.971,-0.491,-0.841,-1.23,0.631,-0.843,-0.441,-0.429,0.186,-0.843,-0.132,-0.659,-0.665,0.227,-1.113,-0.195,22
0.994,-1.771,-0.758,2.899,1.114,0.314,2.619,0.232,0.221,0.148,-0.031,0.544,2.323,2.316,0.271,1.793,2.875,24
-0.578,-1.771,0.84,1.497,-1.565,-2.222,1.08,-0.392,-0.368,0.191,-0.832,-0.097,1.198,1.191,0.237,0.719,1.668,25
0.296,-0.026,-0.225,-0.373,-1.23,0.631,-1.228,-0.09,-0.078,0.152,-0.429,0.181,-0.456,-0.431,0.247,-1.015,-0.019,26
0.645,0.971,-0.225,-1.074,0.109,0.631,-0.843,0.188,0.173,0.141,-0.054,0.5,-0.872,-0.873,0.225,-1.327,-0.419,27
-1.276,0.223,2.171,0.562,-1.565,-0.32,2.234,-0.45,-0.436,0.186,-0.854,-0.139,0.792,0.738,0.331,0.297,1.57,28
0.82,1.22,1.106,-0.841,0.444,1.265,-0.843,0.288,0.272,0.156,0.041,0.643,-0.731,-0.73,0.226,-1.188,-0.281,29
0.296,0.223,-0.225,0.796,0.779,0.948,1.08,0.146,0.133,0.135,-0.092,0.441,0.683,0.68,0.225,0.26,1.151,30
0.82,-0.774,0.573,-0.139,0.444,-0.003,-0.074,0.22,0.209,0.144,-0.021,0.532,-0.136,-0.136,0.22,-0.58,0.314,31
-0.228,-0.774,0.307,-0.607,-0.895,0.314,-0.843,-0.15,-0.134,0.139,-0.458,0.093,-0.536,-0.529,0.228,-1.025,-0.101,32
-1.975,-0.026,0.84,0.328,-0.225,0.314,-0.843,-0.399,-0.377,0.204,-0.827,-0.072,0.11,0.137,0.255,-0.478,0.545,33
1.344,0.223,1.372,0.562,0.779,0.948,1.849,0.377,0.364,0.174,0.092,0.762,0.629,0.595,0.274,0.178,1.272,34
0.82,0.223,1.372,-0.841,1.114,0.948,-0.843,0.366,0.352,0.171,0.091,0.744,-0.743,-0.738,0.223,-1.218,-0.317,35
0.47,1.718,0.84,-0.841,0.779,0.948,-0.074,0.262,0.244,0.15,0.017,0.605,-0.6,-0.615,0.234,-1.038,-0.096,36
