,T_Propriety,T_RareVirtues,T_Deviance,T_BackDeviance,T_NegativeTemperament,T_Detachment,T_SelfHarm,T_Manipulativeness,T_Aggression,T_Dependency,T_LowSelfEsteem,T_Mistrust,T_Entitlement,T_EccentricPerceptions,T_PositiveTemperament,T_Exhibitionism,T_Disinhibition,T_Impulsivity,T_Workaholism,T_SuicideProneness,MPS_alT,MPS_agT,MPS_srT,MPS_wbT,MPS_spT,MPS_acT,MPS_scT,MPS_clT,MPS_haT,MPS_tdT,MPS_abT,MPS_PET,MPS_NET,MPS_COT,MPS_PGT,MPS_PCT,MPS_NGT,MPS_NLT,MPS_uvT,ATQ_ECTotal,ATQ_InhibControl,ATQ_AttControl,ATQ_AttShifting,ATQ_ActControl,zk10,zstai
T_Propriety,1,0.4243644633,-0.1553465549,-0.1022017305,0.1506806182,0.1923665203,-0.0707326996,-0.0364928891,-0.1799692073,0.2065660871,0.0338696121,0.1508191881,0.2420929824,0.0473384796,0.2664208142,-0.1407322466,-0.4741351988,-0.5241422207,0.466239052,-0.1709703867,0.030502951,-0.1454505109,0.1208735221,0.1442885755,-0.1714090977,0.2655204598,-0.2177743131,0.4783288854,0.0729778385,0.6445748919,0.034768642,0.0430664874,-0.0053195651,0.6218937845,0.1863775559,-0.1744558376,-0.0846076518,0.0763730237,0.3806000914,0.1478131564,0.1226513071,0.0340219457,0.1156234507,0.2057123658,0.074285519,0.0164465257
T_RareVirtues,0.4243644633,1,-0.1308398458,-0.1866123156,-0.128284031,0.0547432436,-0.0866830251,-0.3344848814,-0.175504471,-0.1379489611,0.0096069632,-0.1948087378,-0.0299294961,0.0074031897,0.0849889286,-0.1747822333,-0.4566997002,-0.2920551223,0.3330359183,-0.1739172774,-0.3079316942,-0.2688705191,-0.2042374602,-0.032272323,-0.1398687211,0.2825493592,-0.0024582898,0.2074633031,0.0894859318,0.399699798,-0.0828057323,0.0189332125,-0.3401031749,0.3422692594,0.1450485676,-0.0948840513,-0.2730016919,-0.2709486471,0.5911617271,0.308213892,0.3505572996,0.1648963402,0.1103160317,0.2848333204,-0.1332204988,-0.0246754905
T_Deviance,-0.1553465549,-0.1308398458,1,0.5726327722,0.3003236977,0.5108668331,0.7240255788,0.3956047628,0.4740188633,0.2476307389,0.6428968476,0.4563726562,-0.3238588881,0.2128396538,-0.3798137774,-0.1526703743,0.3284025933,0.2317633754,0.0891168446,0.6454853274,0.3567817683,0.4198761649,0.3419564951,-0.3415007251,-0.1351135289,-0.1598709407,-0.3933629957,-0.1199076079,0.0049811724,-0.0609656281,0.064082625,-0.3605764581,0.4177602397,-0.0955773938,-0.2638659678,-0.4039162834,0.4448174901,0.35779784,-0.1845001665,-0.2440561869,-0.1647281691,-0.2051897611,-0.2213593448,-0.2340355915,0.4132159607,0.402385552
T_BackDeviance,-0.1022017305,-0.1866123156,0.5726327722,1,0.4069957424,0.376374079,0.601637245,0.6911463243,0.5356748107,0.1914737424,0.5304964631,0.5460626143,-0.0111066222,0.3888552967,-0.25326691,0.1110598645,0.6451686993,0.4367519426,-0.0823742528,0.5405322422,0.4260391746,0.5083057481,0.4315144337,-0.0974373423,0.0314156455,-0.2980826649,-0.3289774161,-0.3407557858,-0.0377981154,-0.0722476476,0.2044740862,-0.2118189666,0.5331254203,-0.2632479867,-0.2432140158,-0.189623304,0.537843185,0.427597646,-0.1719003442,-0.4633428706,-0.4134562494,-0.3209314438,-0.3606332323,-0.438515025,0.4166647201,0.3839767691
T_NegativeTemperament,0.1506806182,-0.128284031,0.3003236977,0.4069957424,1,0.3064536215,0.4755857699,0.2958412479,0.3523560159,0.4674178055,0.3931522237,0.5437360028,0.1609478016,0.3224742085,-0.1282505721,0.0502432439,0.186320462,0.0839016537,0.3028516802,0.4565251209,0.5259110117,0.299054019,0.8830442866,-0.2722051221,-0.0480607845,0.0502972371,-0.2754729719,0.0144567807,0.0040439829,0.0214362104,0.2345145418,-0.1345205536,0.7005149452,0.0183674704,-0.0631502355,-0.2985995575,0.5243522628,0.7013751792,-0.0980331422,-0.2633414877,-0.267850355,-0.2941571608,-0.204090781,-0.1300334165,0.6348998097,0.5959851918
T_Detachment,0.1923665203,0.0547432436,0.5108668331,0.376374079,0.3064536215,1,0.4194460158,0.2830541226,0.1918357642,0.1018431035,0.4185815194,0.5577544129,-0.0834796809,0.1354120279,-0.4819967111,-0.4019675963,0.0496353563,-0.0980412263,0.2515392484,0.3224492707,0.3517944778,0.1616110884,0.2999659664,-0.3948911707,-0.3414553251,-0.1116768817,-0.7976529198,0.2206257467,-0.0657113862,0.1371878187,0.0233926945,-0.5924495101,0.266847422,0.1563516938,-0.2884195197,-0.7849079529,0.1871006147,0.3518219858,-0.0438055143,-0.1455930551,-0.0263831816,-0.2065525974,-0.2457066593,-0.113005973,0.2770608647,0.304057409
T_SelfHarm,-0.0707326996,-0.0866830251,0.7240255788,0.601637245,0.4755857699,0.4194460158,1,0.3641916976,0.3743480728,0.2865086927,0.9018390716,0.4605558249,-0.2988279544,0.2912049806,-0.4432061726,-0.0978188408,0.3551402194,0.2903781942,0.121717943,0.8760172438,0.2958000382,0.3304392046,0.4803108607,-0.3979431166,-0.1964976491,-0.1525895387,-0.3319244723,-0.1948894741,0.0442608958,0.013868047,0.1006955037,-0.3688330097,0.3999418319,-0.0918939158,-0.2988422356,-0.3981263094,0.4022361298,0.3395154219,-0.1467812027,-0.2844899231,-0.2461517643,-0.2711318006,-0.2185427755,-0.2095015974,0.6204408372,0.5549274604
T_Manipulativeness,-0.0364928891,-0.3344848814,0.3956047628,0.6911463243,0.2958412479,0.2830541226,0.3641916976,1,0.5420587298,0.182970605,0.3333851019,0.4944839828,0.2586671934,0.4046335529,-0.0584506729,0.2866253053,0.6974497565,0.3516568528,-0.0268444432,0.3135210438,0.4147789187,0.6348910916,0.3449099717,0.0350820021,0.2455829818,-0.2172612606,-0.2617511766,-0.2067676634,0.0508274282,-0.0693599143,0.2374500214,-0.0003141082,0.5919968949,-0.1260755608,-0.0689064772,-0.0268924723,0.6217132845,0.3833360783,-0.2625432676,-0.4304284237,-0.3895475459,-0.2112394172,-0.203518128,-0.4797798474,0.3450030572,0.2934336636
T_Aggression,-0.1799692073,-0.175504471,0.4740188633,0.5356748107,0.3523560159,0.1918357642,0.3743480728,0.5420587298,1,-0.0884492206,0.2736948488,0.4189795271,0.0196931104,0.3786667676,-0.0006330868,0.1708460955,0.5380344085,0.3733247101,0.0571650027,0.3992683506,0.4464821985,0.7544238501,0.2784648966,-0.0546389869,0.2567991837,-0.0995686881,-0.2136159156,-0.257362872,0.118082895,-0.0995953032,0.2547976466,0.0266982729,0.6187537221,-0.161301403,-0.0002016871,-0.0317683195,0.7095221459,0.3744007424,-0.0775759126,-0.1025935901,-0.1779007742,0.0025222573,-0.0073577722,-0.1050162125,0.2816385701,0.2555951927
T_Dependency,0.2065660871,-0.1379489611,0.2476307389,0.1914737424,0.4674178055,0.1018431035,0.2865086927,0.182970605,-0.0884492206,1,0.2764726349,0.1373372377,0.033034018,-0.0246838229,-0.240374694,0.0442384047,0.0601990837,-0.0456116478,-0.0246427737,0.2307968011,0.1272851729,-0.0253700542,0.4745292959,-0.267222441,-0.2696198393,-0.1800295169,-0.0368690843,0.0719855842,0.0196628597,0.0669628909,0.0508430687,-0.2858257904,0.2414847477,0.0886226519,-0.3246513258,-0.2039666449,0.1561445618,0.2966535466,-0.1169508876,-0.5006175637,-0.4411607797,-0.4933993191,-0.4161028704,-0.3491854337,0.2738348223,0.3559168343
