"subj_idx","response","rt","stim","block","block_number","trial_z","trial","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
1,1,537,"congruent","most_con",1,-1.72121064913839,1,-1.86219739292365,1,-1.66802789939819,NA,NA,"congruent"
1,1,599,"incongruent","most_con",1,-1.69956020072156,2,-1.669449081803,2,-1.58248800712136,0.537,-1.86219739292365,"incongruent_most_con"
1,1,397,"congruent","most_con",1,-1.67790975230472,3,-2.51889168765743,3,-1.49694811484453,0.599,-1.669449081803,"congruent"
1,1,450,"congruent","most_con",1,-1.65625930388789,4,-2.22222222222222,4,-1.4114082225677,0.397,-2.51889168765743,"congruent"
1,1,376,"incongruent","most_con",1,-1.63460885547105,5,-2.65957446808511,5,-1.32586833029087,0.45,-2.22222222222222,"incongruent_most_con"
1,1,413,"congruent","most_con",1,-1.61295840705422,6,-2.42130750605327,6,-1.24032843801404,0.376,-2.65957446808511,"congruent"
1,1,403,"congruent","most_con",1,-1.59130795863738,7,-2.48138957816377,7,-1.15478854573721,0.413,-2.42130750605327,"congruent"
1,1,377,"congruent","most_con",1,-1.56965751022055,8,-2.6525198938992,8,-1.06924865346038,0.403,-2.48138957816377,"congruent"
1,1,439,"incongruent","most_con",1,-1.54800706180371,9,-2.27790432801822,9,-0.983708761183547,0.377,-2.6525198938992,"incongruent_most_con"
1,1,445,"incongruent","most_con",1,-1.52635661338688,10,-2.24719101123596,10,-0.898168868906717,0.439,-2.27790432801822,"incongruent_most_con"
1,1,393,"incongruent","most_con",1,-1.50470616497004,11,-2.54452926208651,11,-0.812628976629887,0.445,-2.24719101123596,"incongruent_most_con"
1,1,439,"incongruent","most_con",1,-1.48305571655321,12,-2.27790432801822,12,-0.727089084353056,0.393,-2.54452926208651,"incongruent_most_con"
1,1,469,"incongruent","most_con",1,-1.46140526813637,13,-2.13219616204691,13,-0.641549192076226,0.439,-2.27790432801822,"incongruent_most_con"
1,1,395,"congruent","most_con",1,-1.43975481971953,14,-2.53164556962025,14,-0.556009299799396,0.469,-2.13219616204691,"congruent"
1,1,441,"congruent","most_con",1,-1.4181043713027,15,-2.26757369614512,15,-0.470469407522566,0.395,-2.53164556962025,"congruent"
1,1,359,"congruent","most_con",1,-1.39645392288586,16,-2.78551532033426,16,-0.384929515245736,0.441,-2.26757369614512,"congruent"
1,1,500,"incongruent","most_con",1,-1.37480347446903,17,-2,17,-0.299389622968906,0.359,-2.78551532033426,"incongruent_most_con"
1,1,545,"congruent","most_con",1,-1.35315302605219,18,-1.8348623853211,18,-0.213849730692075,0.5,-2,"congruent"
1,1,623,"congruent","most_con",1,-1.33150257763536,19,-1.60513643659711,19,-0.128309838415245,0.545,-1.8348623853211,"congruent"
1,1,461,"congruent","most_con",1,-1.30985212921852,20,-2.16919739696312,20,-0.0427699461384151,0.623,-1.60513643659711,"congruent"
1,1,403,"incongruent","most_con",1,-1.28820168080169,21,-2.48138957816377,21,0.0427699461384151,0.461,-2.16919739696312,"incongruent_most_con"
1,1,416,"incongruent","most_con",1,-1.26655123238485,22,-2.40384615384615,22,0.128309838415245,0.403,-2.48138957816377,"incongruent_most_con"
1,1,438,"congruent","most_con",1,-1.24490078396802,23,-2.28310502283105,23,0.213849730692075,0.416,-2.40384615384615,"congruent"
1,1,420,"incongruent","most_con",1,-1.22325033555118,24,-2.38095238095238,24,0.299389622968906,0.438,-2.28310502283105,"incongruent_most_con"
1,1,481,"congruent","most_con",1,-1.20159988713435,25,-2.07900207900208,25,0.384929515245736,0.42,-2.38095238095238,"congruent"
1,1,439,"congruent","most_con",1,-1.17994943871751,26,-2.27790432801822,26,0.470469407522566,0.481,-2.07900207900208,"congruent"
1,1,341,"congruent","most_con",1,-1.15829899030068,27,-2.93255131964809,27,0.556009299799396,0.439,-2.27790432801822,"congruent"
1,1,314,"congruent","most_con",1,-1.13664854188384,28,-3.18471337579618,28,0.641549192076226,0.341,-2.93255131964809,"congruent"
1,1,392,"congruent","most_con",1,-1.11499809346701,29,-2.55102040816327,29,0.727089084353056,0.314,-3.18471337579618,"congruent"
1,1,342,"congruent","most_con",1,-1.09334764505017,30,-2.92397660818713,30,0.812628976629887,0.392,-2.55102040816327,"congruent"
1,1,412,"congruent","most_con",1,-1.07169719663334,31,-2.42718446601942,31,0.898168868906717,0.342,-2.92397660818713,"congruent"
1,1,369,"congruent","most_con",1,-1.0500467482165,32,-2.710027100271,32,0.983708761183547,0.412,-2.42718446601942,"congruent"
1,1,358,"congruent","most_con",1,-1.02839629979967,33,-2.79329608938547,33,1.06924865346038,0.369,-2.710027100271,"congruent"
1,1,388,"incongruent","most_con",1,-1.00674585138283,34,-2.57731958762887,34,1.15478854573721,0.358,-2.79329608938547,"incongruent_most_con"
1,1,386,"congruent","most_con",1,-0.985095402965998,35,-2.59067357512953,35,1.24032843801404,0.388,-2.57731958762887,"congruent"
1,1,472,"congruent","most_con",1,-0.963444954549162,36,-2.11864406779661,36,1.32586833029087,0.386,-2.59067357512953,"congruent"
1,1,486,"congruent","most_con",1,-0.941794506132327,37,-2.05761316872428,37,1.4114082225677,0.472,-2.11864406779661,"congruent"
1,1,419,"congruent","most_con",1,-0.920144057715492,38,-2.38663484486873,38,1.49694811484453,0.486,-2.05761316872428,"congruent"
1,1,489,"congruent","most_con",1,-0.898493609298657,39,-2.04498977505112,39,1.58248800712136,0.419,-2.38663484486873,"congruent"
1,1,398,"congruent","most_con",1,-0.876843160881822,40,-2.51256281407035,40,1.66802789939819,0.489,-2.04498977505112,"congruent"
1,1,404,"incongruent","most_incon",2,-0.855192712464987,41,-2.47524752475248,1,-1.66802789939819,NA,NA,"incongruent_most_incon"
1,1,386,"incongruent","most_incon",2,-0.833542264048152,42,-2.59067357512953,2,-1.58248800712136,0.404,-2.47524752475248,"incongruent_most_incon"
1,1,352,"congruent","most_incon",2,-0.811891815631317,43,-2.84090909090909,3,-1.49694811484453,0.386,-2.59067357512953,"congruent"
1,1,397,"incongruent","most_incon",2,-0.790241367214482,44,-2.51889168765743,4,-1.4114082225677,0.352,-2.84090909090909,"incongruent_most_incon"
1,1,323,"incongruent","most_incon",2,-0.768590918797647,45,-3.09597523219814,5,-1.32586833029087,0.397,-2.51889168765743,"incongruent_most_incon"
1,1,433,"incongruent","most_incon",2,-0.746940470380811,46,-2.3094688221709,6,-1.24032843801404,0.323,-3.09597523219814,"incongruent_most_incon"
1,1,582,"incongruent","most_incon",2,-0.725290021963976,47,-1.71821305841924,7,-1.15478854573721,0.433,-2.3094688221709,"incongruent_most_incon"
1,1,436,"incongruent","most_incon",2,-0.703639573547141,48,-2.29357798165138,8,-1.06924865346038,0.582,-1.71821305841924,"incongruent_most_incon"
1,1,601,"congruent","most_incon",2,-0.681989125130306,49,-1.66389351081531,9,-0.983708761183547,0.436,-2.29357798165138,"congruent"
1,1,607,"incongruent","most_incon",2,-0.660338676713471,50,-1.64744645799012,10,-0.898168868906717,0.601,-1.66389351081531,"incongruent_most_incon"
1,1,485,"incongruent","most_incon",2,-0.638688228296636,51,-2.06185567010309,11,-0.812628976629887,0.607,-1.64744645799012,"incongruent_most_incon"
1,1,379,"incongruent","most_incon",2,-0.617037779879801,52,-2.63852242744063,12,-0.727089084353056,0.485,-2.06185567010309,"incongruent_most_incon"
1,1,345,"congruent","most_incon",2,-0.595387331462966,53,-2.89855072463768,13,-0.641549192076226,0.379,-2.63852242744063,"congruent"
