"subj_idx","response","rt","cond","stim","stim_cond","trial_z","trial","rt_log_trim_grp","prev_rt","block_trial"
1,1,0.486,"ThreeGo","Go","Go_ThreeGo",-1.71038320383982,2,2.68663626926229,0.64,2
1,1,0.38,"ThreeGo","Go","Go_ThreeGo",-1.69594959030531,3,2.57978359661681,0.486,3
1,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-1.6815159767708,4,0,0.38,4
1,1,0.533,"FiveGo","Go","Go_FiveGo",-1.66708236323628,5,2.72672720902657,0,1
1,1,0.467,"FiveGo","Go","Go_FiveGo",-1.65264874970177,6,2.66931688056611,0.533,2
1,1,0.497,"FiveGo","Go","Go_FiveGo",-1.63821513616726,7,2.69635638873333,0.467,3
1,1,0.422,"FiveGo","Go","Go_FiveGo",-1.62378152263274,8,2.62531245096167,0.497,4
1,1,0.468,"FiveGo","Go","Go_FiveGo",-1.60934790909823,9,2.67024585307412,0.422,5
1,1,0,"FiveGo","NoGo","NoGo_FiveGo",-1.59491429556372,10,0,0.468,6
1,1,0.389,"OneGo","Go","Go_OneGo",-1.5804806820292,11,2.58994960132571,0,1
1,1,0,"OneGo","NoGo","NoGo_OneGo",-1.56604706849469,12,0,0.389,2
1,1,0.51,"SevenGo","Go","Go_SevenGo",-1.55161345496018,13,2.70757017609794,0,1
1,1,0.484,"SevenGo","Go","Go_SevenGo",-1.53717984142566,14,2.68484536164441,0.51,2
1,1,0.426,"SevenGo","Go","Go_SevenGo",-1.52274622789115,15,2.62940959910272,0.484,3
1,1,0.431,"SevenGo","Go","Go_SevenGo",-1.50831261435664,16,2.63447727016073,0.426,4
1,1,0.445,"SevenGo","Go","Go_SevenGo",-1.49387900082212,17,2.64836001098093,0.431,5
1,1,0.507,"SevenGo","Go","Go_SevenGo",-1.47944538728761,18,2.70500795933334,0.445,6
1,1,0.457,"SevenGo","Go","Go_SevenGo",-1.4650117737531,19,2.65991620006985,0.507,7
1,1,0,"SevenGo","NoGo","NoGo_SevenGo",-1.45057816021858,20,0,0.457,8
1,1,0.569,"SevenGo","Go","Go_SevenGo",-1.43614454668407,21,2.75511226639507,0,9
1,1,0.351,"SevenGo","Go","Go_SevenGo",-1.42171093314956,22,2.54530711646582,0.569,10
1,1,0.333,"SevenGo","Go","Go_SevenGo",-1.40727731961504,23,2.52244423350632,0.351,11
