"subj_idx","response","rt","stim","cond","trial_z","rt_log_trim_grp","prev_rt"
1,1,1366,"negative_unfamiliar","no_conflict",-1.61500423500076,3.13545069934551,NA
1,1,757,"positive","no_conflict",-1.56689772587308,2.87909587950007,1.366
1,1,1028,"negative_rc","conflict",-1.5187912167454,3.01199311465926,0.757
1,1,900,"positive","no_conflict",-1.47068470761772,2.95424250943932,1.028
1,1,NA,"negative_highly_familiar","conflict",-1.42257819849003,NA,0.9
1,1,1282,"positive","no_conflict",-1.37447168936235,3.1078880251828,1.739
1,1,NA,"negative_familiar","conflict",-1.32636518023467,NA,1.282
1,1,952,"positive","no_conflict",-1.27825867110699,2.97863694838447,1.729
1,1,1063,"positive","no_conflict",-1.2301521619793,3.0265332645233,0.952
1,1,982,"negative_rc","conflict",-1.18204565285162,2.99211148778695,1.063
1,1,1237,"negative_familiar","conflict",-1.13393914372394,3.09236969962912,0.982
1,1,1309,"positive","no_conflict",-1.08583263459626,3.11693964655076,1.237
1,1,NA,"positive","no_conflict",-1.03772612546857,NA,1.309
1,1,851,"negative_rc","conflict",-0.989619616340893,2.92992956008459,2.148
1,1,938,"negative_highly_familiar","conflict",-0.94151310721321,2.97220283837906,0.851
1,1,1057,"positive","no_conflict",-0.893406598085528,3.02407498730743,0.938
1,0,1040,"positive","no_conflict",-0.845300088957846,3.01703333929878,1.057
1,1,999,"negative_unfamiliar","no_conflict",-0.797193579830163,2.99956548822598,1.04
1,1,791,"positive","no_conflict",-0.749087070702481,2.89817648349768,0.999
1,1,638,"negative_highly_familiar","conflict",-0.700980561574799,2.80482067872116,0.791
1,1,877,"positive","no_conflict",-0.652874052447117,2.94299959336604,0.638
1,1,924,"negative_familiar","conflict",-0.604767543319434,2.96567197122011,0.877
1,NA,NA,"negative_unfamiliar","no_conflict",-0.556661034191752,NA,0.924
1,1,1378,"positive","no_conflict",-0.50855452506407,3.13924921757161,NA
1,1,1593,"negative_highly_familiar","conflict",-0.460448015936387,3.20221577580113,1.378
1,1,920,"positive","no_conflict",-0.412341506808705,2.96378782734556,1.593
1,1,920,"negative_familiar","conflict",-0.364234997681023,2.96378782734556,0.92
1,0,927,"positive","no_conflict",-0.316128488553341,2.9670797341445,0.92
1,1,1550,"positive","no_conflict",-0.268021979425658,3.19033169817029,0.927
1,1,1197,"negative_rc","conflict",-0.219915470297976,3.07809415040641,1.55
