,parameter,rhat
0,t_subj.59,0.9994736842105263
1,t_subj.58,0.9994736842105264
2,t_subj.50,0.9994736842105263
3,t_subj.53,0.9994736842105263
4,t_subj.52,0.9994736842105264
5,t_subj.54,0.9994736842105264
6,t_subj.57,0.9994736842105263
7,t_subj.56,0.9994736842105262
8,t_subj.28,0.9994736842105262
9,t_subj.29,0.9994736842105262
10,t_subj.24,0.9994736842105264
11,t_subj.25,0.9994736842105264
12,t_subj.26,0.9994736842105264
13,t_subj.27,0.9994736842105264
14,t_subj.20,0.9994736842105263
15,t_subj.21,0.9994736842105264
16,t_subj.22,0.9994736842105264
17,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.91",0.9994736842105263
18,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.93",0.9994736842105264
19,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.92",0.9994736842105263
20,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.95",0.9994736842105264
21,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.94",0.9994736842105263
22,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.97",0.9994736842105262
23,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.96",0.9994736842105263
24,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.98",0.9994736842105262
25,t_subj.114,0.9994736842105263
26,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.45",0.9994736842105263
27,t_subj.110,0.9994736842105262
28,t_subj.113,0.9994736842105264
29,t_subj.112,0.9994736842105262
30,v_Intercept_subj.98,0.9994736842105263
31,v_Intercept_subj.92,0.9994736842105262
32,v_Intercept_subj.93,0.9994736842105262
33,v_Intercept_subj.91,0.9994736842105263
34,v_Intercept_subj.96,0.9994736842105263
35,v_Intercept_subj.97,0.9994736842105262
36,v_Intercept_subj.94,0.9994736842105264
37,v_Intercept_subj.95,0.9994736842105263
38,t_subj.5,0.9994736842105263
39,a_subj.37,0.9994736842105263
40,a_subj.34,0.9994736842105263
41,a_subj.35,0.9994736842105262
42,a_subj.32,0.9994736842105264
43,a_subj.33,0.9994736842105263
44,a_subj.30,0.9994736842105263
45,a_subj.31,0.9994736842105263
46,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.22",0.9994736842105263
47,t_subj.6,0.9994736842105263
48,a_subj.108,0.9994736842105264
49,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.54",0.9994736842105263
50,a_subj.105,0.9994736842105263
51,a_subj.104,0.9994736842105264
52,a_subj.107,0.9994736842105264
53,a_subj.106,0.9994736842105263
54,a_subj.101,0.9994736842105263
55,a_subj.100,0.9994736842105263
56,a_subj.103,0.9994736842105264
57,a_subj.102,0.9994736842105264
58,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.56",0.9994736842105262
59,t_subj.3,0.9994736842105264
60,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.26",0.9994736842105263
61,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.50",0.9994736842105264
62,"v_C(stim, Treatment(0))[T.1]_subj.56",0.9994736842105264
63,"v_C(stim, Treatment(0))[T.1]_subj.57",0.9994736842105262
64,"v_C(stim, Treatment(0))[T.1]_subj.54",0.9994736842105264
65,"v_C(stim, Treatment(0))[T.1]_subj.52",0.9994736842105264
66,"v_C(stim, Treatment(0))[T.1]_subj.53",0.9994736842105263
67,"v_C(stim, Treatment(0))[T.1]_subj.50",0.9994736842105264
68,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.52",0.9994736842105262
69,"v_C(stim, Treatment(0))[T.1]_subj.58",0.9994736842105264
70,"v_C(stim, Treatment(0))[T.1]_subj.59",0.9994736842105263
71,a_subj.89,0.9994736842105264
72,a_subj.88,0.9994736842105264
73,a_subj.82,0.9994736842105264
74,a_subj.81,0.9994736842105263
75,a_subj.87,0.9994736842105264
76,a_subj.86,0.9994736842105264
77,a_subj.85,0.9994736842105263
78,a_subj.84,0.9994736842105263
79,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.42",0.9994736842105262
80,t_subj.17,0.9994736842105263
81,t_subj.16,0.9994736842105264
82,t_subj.11,0.9994736842105263
83,t_subj.10,0.9994736842105263
84,t_subj.13,0.9994736842105263
85,t_subj.12,0.9994736842105263
86,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.21",0.9994736842105263
87,t_subj.19,0.9994736842105263
88,t_subj.18,0.9994736842105263
89,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.43",0.9994736842105264
90,v_Intercept_subj.49,0.9994736842105263
91,v_Intercept_subj.48,0.9994736842105263
92,v_Intercept_subj.41,0.9994736842105263
93,v_Intercept_subj.40,0.9994736842105264
94,v_Intercept_subj.43,0.9994736842105263
95,v_Intercept_subj.42,0.9994736842105263
96,v_Intercept_subj.45,0.9994736842105264
97,v_Intercept_subj.46,0.9994736842105263
98,v_Intercept_subj.107,0.9994736842105264
99,v_Intercept_subj.106,0.9994736842105263
100,v_Intercept_subj.105,0.9994736842105263
101,v_Intercept_subj.104,0.9994736842105262
102,v_Intercept_subj.103,0.9994736842105263
103,v_Intercept_subj.102,0.9994736842105264
104,v_Intercept_subj.101,0.9994736842105264
105,v_Intercept_subj.100,0.9994736842105262
106,v_Intercept_subj.108,0.9994736842105264
107,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.33",0.9994736842105264
108,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.27",0.9994736842105262
109,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.97",0.9994736842105264
110,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.96",0.9994736842105262
111,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.95",0.9994736842105263
112,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.94",0.9994736842105262
113,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.93",0.9994736842105263
114,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.46",0.9994736842105263
115,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.91",0.9994736842105263
116,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.37",0.9994736842105263
117,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.1",0.9994736842105263
118,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.35",0.9994736842105263
119,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.34",0.9994736842105263
120,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.3",0.9994736842105263
121,"v_C(stim, Treatment(0))[T.1]_subj.107",0.9994736842105264
122,"v_C(stim, Treatment(0))[T.1]_subj.106",0.9994736842105264
123,"v_C(stim, Treatment(0))[T.1]_subj.105",0.9994736842105263
124,"v_C(stim, Treatment(0))[T.1]_subj.104",0.9994736842105263
125,"v_C(stim, Treatment(0))[T.1]_subj.103",0.9994736842105263
126,"v_C(stim, Treatment(0))[T.1]_subj.102",0.9994736842105262
127,"v_C(stim, Treatment(0))[T.1]_subj.101",0.9994736842105263
128,"v_C(stim, Treatment(0))[T.1]_subj.100",0.9994736842105263
129,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.28",0.9994736842105262
130,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.29",0.9994736842105262
131,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.59",0.9994736842105265
132,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.58",0.9994736842105263
133,"v_C(stim, Treatment(0))[T.1]_subj.108",0.9994736842105264
134,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.25",0.9994736842105263
135,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.6",0.9994736842105263
136,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.114",0.9994736842105263
137,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.113",0.9994736842105263
138,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.76",0.9994736842105264
139,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.110",0.9994736842105264
140,"v_C(stim, Treatment(0))[T.1]_subj.98",0.9994736842105263
141,"v_C(stim, Treatment(0))[T.1]_subj.92",0.9994736842105264
142,"v_C(stim, Treatment(0))[T.1]_subj.93",0.9994736842105263
143,"v_C(stim, Treatment(0))[T.1]_subj.91",0.9994736842105263
144,"v_C(stim, Treatment(0))[T.1]_subj.96",0.9994736842105264
145,"v_C(stim, Treatment(0))[T.1]_subj.97",0.9994736842105264
146,"v_C(stim, Treatment(0))[T.1]_subj.94",0.9994736842105263
147,"v_C(stim, Treatment(0))[T.1]_subj.95",0.9994736842105263
148,a,0.9994736842105263
149,a_subj.46,0.9994736842105264
150,a_subj.45,0.9994736842105264
151,a_subj.43,0.9994736842105263
152,a_subj.42,0.9994736842105263
153,a_subj.41,0.9994736842105263
154,a_subj.40,0.9994736842105263
155,a_subj.49,0.9994736842105263
156,a_subj.48,0.9994736842105262
157,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.81",0.9994736842105263
158,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.82",0.9994736842105263
159,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.84",0.9994736842105263
160,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.87",0.9994736842105263
161,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.88",0.9994736842105262
162,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.89",0.9994736842105264
163,t_subj.48,0.9994736842105264
164,t_subj.49,0.9994736842105263
165,t_subj.42,0.9994736842105264
166,t_subj.43,0.9994736842105263
167,t_subj.40,0.9994736842105263
168,t_subj.41,0.9994736842105264
169,t_subj.46,0.9994736842105263
170,t_subj.45,0.9994736842105264
171,v_Intercept_subj.12,0.9994736842105263
172,v_Intercept_subj.13,0.9994736842105263
173,v_Intercept_subj.10,0.9994736842105263
174,v_Intercept_subj.11,0.9994736842105264
175,v_Intercept_subj.16,0.9994736842105262
176,v_Intercept_subj.17,0.9994736842105264
177,v_Intercept_subj.18,0.9994736842105264
178,v_Intercept_subj.19,0.9994736842105263
179,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.19",0.9994736842105264
180,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.18",0.9994736842105264
181,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.68",0.9994736842105263
182,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.69",0.9994736842105264
183,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.11",0.9994736842105263
184,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.10",0.9994736842105264
185,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.13",0.9994736842105263
186,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.12",0.9994736842105263
187,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.63",0.9994736842105262
188,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.17",0.9994736842105263
