,parameter,rhat
0,t_subj.59,0.9994736842105263
1,t_subj.58,0.9994736842105262
2,t_subj.50,0.9994736842105264
3,t_subj.53,0.9994736842105263
4,t_subj.52,0.9994736842105263
5,t_subj.54,0.9994736842105263
6,t_subj.57,0.9994736842105264
7,t_subj.56,0.9994736842105262
8,t_subj.28,0.9994736842105263
9,t_subj.29,0.9994736842105262
10,t_subj.24,0.9994736842105263
11,t_subj.25,0.9994736842105265
12,t_subj.26,0.9994736842105263
13,t_subj.27,0.9994736842105265
14,t_subj.20,0.9994736842105264
15,t_subj.21,0.9994736842105263
16,t_subj.22,0.9994736842105264
17,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.91",0.9994736842105263
18,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.93",0.9994736842105264
19,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.92",0.9994736842105263
20,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.95",0.9994736842105263
21,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.94",0.9994736842105264
22,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.97",0.9994736842105263
23,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.96",0.9994736842105264
24,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.98",0.9994736842105263
25,t_subj.114,0.9994736842105263
26,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.45",0.9994736842105264
27,t_subj.110,0.9994736842105263
28,t_subj.113,0.9994736842105262
29,t_subj.112,0.9994736842105262
30,v_Intercept_subj.98,0.9994736842105263
31,v_Intercept_subj.92,0.9994736842105263
32,v_Intercept_subj.93,0.9994736842105264
33,v_Intercept_subj.91,0.9994736842105263
34,v_Intercept_subj.96,0.9994736842105263
35,v_Intercept_subj.97,0.9994736842105262
36,v_Intercept_subj.94,0.9994736842105263
37,v_Intercept_subj.95,0.9994736842105263
38,t_subj.5,0.9994736842105263
39,a_subj.37,0.9994736842105263
40,a_subj.34,0.9994736842105263
41,a_subj.35,0.9994736842105263
42,a_subj.32,0.9994736842105264
43,a_subj.33,0.9994736842105264
44,a_subj.30,0.9994736842105263
45,a_subj.31,0.9994736842105263
46,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.22",0.9994736842105263
47,t_subj.6,0.9994736842105262
48,a_subj.108,0.9994736842105263
49,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.54",0.9994736842105263
50,a_subj.105,0.9994736842105264
51,a_subj.104,0.9994736842105263
52,a_subj.107,0.9994736842105263
53,a_subj.106,0.9994736842105262
54,a_subj.101,0.9994736842105264
55,a_subj.100,0.9994736842105264
56,a_subj.103,0.9994736842105264
57,a_subj.102,0.9994736842105264
58,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.56",0.9994736842105263
59,t_subj.3,0.9994736842105262
60,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.26",0.9994736842105263
61,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.50",0.9994736842105263
62,"v_C(stim, Treatment(0))[T.1]_subj.56",0.9994736842105264
63,"v_C(stim, Treatment(0))[T.1]_subj.57",0.9994736842105262
64,"v_C(stim, Treatment(0))[T.1]_subj.54",0.9994736842105263
65,"v_C(stim, Treatment(0))[T.1]_subj.52",0.9994736842105263
66,"v_C(stim, Treatment(0))[T.1]_subj.53",0.9994736842105264
67,"v_C(stim, Treatment(0))[T.1]_subj.50",0.9994736842105264
68,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.52",0.9994736842105262
69,"v_C(stim, Treatment(0))[T.1]_subj.58",0.9994736842105263
70,"v_C(stim, Treatment(0))[T.1]_subj.59",0.9994736842105263
71,a_subj.89,0.9994736842105265
72,a_subj.88,0.9994736842105263
73,a_subj.82,0.9994736842105264
74,a_subj.81,0.9994736842105263
75,a_subj.87,0.9994736842105262
76,a_subj.86,0.9994736842105262
77,a_subj.85,0.9994736842105263
78,a_subj.84,0.9994736842105264
79,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.42",0.9994736842105264
80,t_subj.17,0.9994736842105263
81,t_subj.16,0.9994736842105264
82,t_subj.11,0.9994736842105264
83,t_subj.10,0.9994736842105263
84,t_subj.13,0.9994736842105263
85,t_subj.12,0.9994736842105263
86,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.21",0.9994736842105263
87,t_subj.19,0.9994736842105263
88,t_subj.18,0.9994736842105263
89,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.43",0.9994736842105263
90,v_Intercept_subj.49,0.9994736842105263
91,v_Intercept_subj.48,0.9994736842105263
92,v_Intercept_subj.41,0.9994736842105263
93,v_Intercept_subj.40,0.9994736842105263
94,v_Intercept_subj.43,0.9994736842105264
95,v_Intercept_subj.42,0.9994736842105263
96,v_Intercept_subj.45,0.9994736842105263
97,v_Intercept_subj.46,0.9994736842105262
98,v_Intercept_subj.107,0.9994736842105263
99,v_Intercept_subj.106,0.9994736842105263
100,v_Intercept_subj.105,0.9994736842105264
101,v_Intercept_subj.104,0.9994736842105263
102,v_Intercept_subj.103,0.9994736842105264
103,v_Intercept_subj.102,0.9994736842105263
104,v_Intercept_subj.101,0.9994736842105264
105,v_Intercept_subj.100,0.9994736842105263
106,v_Intercept_subj.108,0.9994736842105262
107,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.33",0.9994736842105264
108,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.27",0.9994736842105263
109,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.97",0.9994736842105263
110,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.96",0.9994736842105264
111,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.95",0.9994736842105264
112,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.94",0.9994736842105263
113,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.93",0.9994736842105264
114,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.46",0.9994736842105263
115,"v_C(stim, Treatment(0))[T.1]:C(CongruentBlock, Treatment(0))[T.1]_subj.91",0.9994736842105263
116,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.37",0.9994736842105264
117,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.1",0.9994736842105263
118,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.35",0.9994736842105263
119,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.34",0.9994736842105264
120,"v_C(CongruentBlock, Treatment(0))[T.1]_subj.3",0.9994736842105264
121,"v_C(stim, Treatment(0))[T.1]_subj.107",0.9994736842105263
122,"v_C(stim, Treatment(0))[T.1]_subj.106",0.9994736842105263
123,"v_C(stim, Treatment(0))[T.1]_subj.105",0.9994736842105263
