,parameter,rhat
0,t_subj.59,0.9994736842105263
1,t_subj.58,0.9994736842105264
2,t_subj.50,0.9994736842105263
3,t_subj.53,0.9994736842105262
4,t_subj.52,0.9994736842105263
5,t_subj.54,0.9994736842105263
6,t_subj.57,0.9994736842105263
7,t_subj.56,0.9994736842105264
8,t_subj.28,0.9994736842105263
9,t_subj.29,0.9994736842105263
10,t_subj.24,0.9994736842105264
11,t_subj.25,0.9994736842105262
12,t_subj.26,0.9994736842105264
13,t_subj.27,0.9994736842105264
14,t_subj.20,0.9994736842105265
15,t_subj.21,0.9994736842105263
16,t_subj.22,0.9994736842105264
17,t_subj.114,0.9994736842105263
18,t_subj.110,0.9994736842105263
19,t_subj.113,0.9994736842105263
20,t_subj.112,0.9994736842105262
21,v_Intercept_subj.98,0.9994736842105262
22,v_Intercept_subj.92,0.9994736842105263
23,v_Intercept_subj.93,0.9994736842105262
24,v_Intercept_subj.91,0.9994736842105263
25,v_Intercept_subj.96,0.9994736842105264
26,v_Intercept_subj.97,0.9994736842105264
27,v_Intercept_subj.94,0.9994736842105264
28,v_Intercept_subj.95,0.9994736842105262
29,t_subj.5,0.9994736842105262
30,a_subj.37,0.9994736842105264
31,a_subj.34,0.9994736842105263
32,a_subj.35,0.9994736842105263
33,a_subj.32,0.9994736842105263
34,a_subj.33,0.9994736842105263
35,a_subj.30,0.9994736842105263
36,a_subj.31,0.9994736842105262
37,t_subj.6,0.9994736842105262
38,a_subj.108,0.9994736842105262
39,a_subj.105,0.9994736842105263
40,a_subj.104,0.9994736842105263
41,a_subj.107,0.9994736842105263
42,a_subj.106,0.9994736842105263
43,a_subj.101,0.9994736842105263
44,a_subj.100,0.9994736842105262
45,a_subj.103,0.9994736842105264
46,a_subj.102,0.9994736842105262
47,t_subj.3,0.9994736842105264
48,"v_C(stim, Treatment(0))[T.1]_subj.56",0.9994736842105262
49,"v_C(stim, Treatment(0))[T.1]_subj.57",0.9994736842105264
50,"v_C(stim, Treatment(0))[T.1]_subj.54",0.9994736842105263
51,"v_C(stim, Treatment(0))[T.1]_subj.52",0.9994736842105263
52,"v_C(stim, Treatment(0))[T.1]_subj.53",0.9994736842105264
53,"v_C(stim, Treatment(0))[T.1]_subj.50",0.9994736842105264
54,"v_C(stim, Treatment(0))[T.1]_subj.58",0.9994736842105263
55,"v_C(stim, Treatment(0))[T.1]_subj.59",0.9994736842105263
56,a_subj.89,0.9994736842105264
57,a_subj.88,0.9994736842105263
58,a_subj.82,0.9994736842105262
59,a_subj.81,0.9994736842105264
60,a_subj.87,0.9994736842105263
61,a_subj.86,0.9994736842105264
62,a_subj.85,0.9994736842105262
63,a_subj.84,0.9994736842105262
64,t_subj.17,0.9994736842105263
65,t_subj.16,0.9994736842105263
66,t_subj.11,0.9994736842105262
67,t_subj.10,0.9994736842105263
68,t_subj.13,0.9994736842105263
69,t_subj.12,0.9994736842105264
70,t_subj.19,0.9994736842105264
71,t_subj.18,0.9994736842105263
72,v_Intercept_subj.49,0.9994736842105263
73,v_Intercept_subj.48,0.9994736842105262
74,v_Intercept_subj.41,0.9994736842105264
75,v_Intercept_subj.40,0.9994736842105263
76,v_Intercept_subj.43,0.9994736842105263
77,v_Intercept_subj.42,0.9994736842105265
78,v_Intercept_subj.45,0.9994736842105263
79,v_Intercept_subj.46,0.9994736842105264
80,v_Intercept_subj.107,0.9994736842105264
81,v_Intercept_subj.106,0.9994736842105263
82,v_Intercept_subj.105,0.9994736842105263
83,v_Intercept_subj.104,0.9994736842105262
84,v_Intercept_subj.103,0.9994736842105263
85,v_Intercept_subj.102,0.9994736842105262
86,v_Intercept_subj.101,0.9994736842105264
87,v_Intercept_subj.100,0.9994736842105263
88,v_Intercept_subj.108,0.9994736842105263
89,"v_C(stim, Treatment(0))[T.1]_subj.107",0.9994736842105264
90,"v_C(stim, Treatment(0))[T.1]_subj.106",0.9994736842105263
91,"v_C(stim, Treatment(0))[T.1]_subj.105",0.9994736842105263
92,"v_C(stim, Treatment(0))[T.1]_subj.104",0.9994736842105263
93,"v_C(stim, Treatment(0))[T.1]_subj.103",0.9994736842105264
94,"v_C(stim, Treatment(0))[T.1]_subj.102",0.9994736842105264
95,"v_C(stim, Treatment(0))[T.1]_subj.101",0.9994736842105262
96,"v_C(stim, Treatment(0))[T.1]_subj.100",0.9994736842105263
97,"v_C(stim, Treatment(0))[T.1]_subj.108",0.9994736842105263
98,"v_C(stim, Treatment(0))[T.1]_subj.98",0.9994736842105263
99,"v_C(stim, Treatment(0))[T.1]_subj.92",0.9994736842105263
100,"v_C(stim, Treatment(0))[T.1]_subj.93",0.9994736842105263
101,"v_C(stim, Treatment(0))[T.1]_subj.91",0.9994736842105262
102,"v_C(stim, Treatment(0))[T.1]_subj.96",0.9994736842105263
103,"v_C(stim, Treatment(0))[T.1]_subj.97",0.9994736842105264
104,"v_C(stim, Treatment(0))[T.1]_subj.94",0.9994736842105262
105,"v_C(stim, Treatment(0))[T.1]_subj.95",0.9994736842105263
106,a,0.9994736842105263
107,a_subj.46,0.9994736842105263
108,a_subj.45,0.9994736842105263
109,a_subj.43,0.9994736842105262
110,a_subj.42,0.9994736842105263
111,a_subj.41,0.9994736842105263
112,a_subj.40,0.9994736842105263
113,a_subj.49,0.9994736842105263
114,a_subj.48,0.9994736842105264
115,t_subj.48,0.9994736842105263
116,t_subj.49,0.9994736842105263
117,t_subj.42,0.9994736842105264
118,t_subj.43,0.9994736842105263
119,t_subj.40,0.9994736842105263
120,t_subj.41,0.9994736842105262
121,t_subj.46,0.9994736842105264
122,t_subj.45,0.9994736842105264
123,v_Intercept_subj.12,0.9994736842105263
124,v_Intercept_subj.13,0.9994736842105265
125,v_Intercept_subj.10,0.9994736842105263
126,v_Intercept_subj.11,0.9994736842105263
127,v_Intercept_subj.16,0.9994736842105263
128,v_Intercept_subj.17,0.9994736842105264
129,v_Intercept_subj.18,0.9994736842105263
130,v_Intercept_subj.19,0.9994736842105264
131,a_std,0.9994736842105263
132,"v_C(stim, Treatment(0))[T.1]_subj.41",0.9994736842105263
133,"v_C(stim, Treatment(0))[T.1]_subj.40",0.9994736842105264
134,"v_C(stim, Treatment(0))[T.1]_subj.43",0.9994736842105262
135,"v_C(stim, Treatment(0))[T.1]_subj.42",0.9994736842105264
136,"v_C(stim, Treatment(0))[T.1]_subj.45",0.9994736842105265
137,"v_C(stim, Treatment(0))[T.1]_subj.46",0.9994736842105263
138,"v_C(stim, Treatment(0))[T.1]_subj.49",0.9994736842105262
139,"v_C(stim, Treatment(0))[T.1]_subj.48",0.9994736842105263
140,a_subj.98,0.9994736842105263
141,a_subj.94,0.9994736842105263
142,a_subj.95,0.9994736842105263
143,a_subj.96,0.9994736842105263
144,a_subj.97,0.9994736842105264
145,a_subj.91,0.9994736842105263
146,a_subj.92,0.9994736842105263
147,a_subj.93,0.9994736842105263
148,v_Intercept,0.9994736842105263
149,"v_C(stim, Treatment(0))[T.1]_subj.34",0.9994736842105264
150,"v_C(stim, Treatment(0))[T.1]_subj.35",0.9994736842105262
151,"v_C(stim, Treatment(0))[T.1]_subj.37",0.9994736842105263
152,"v_C(stim, Treatment(0))[T.1]_subj.30",0.9994736842105263
153,"v_C(stim, Treatment(0))[T.1]_subj.31",0.9994736842105264
154,"v_C(stim, Treatment(0))[T.1]_subj.32",0.9994736842105263
155,"v_C(stim, Treatment(0))[T.1]_subj.33",0.9994736842105263
156,v_Intercept_subj.56,0.9994736842105263
157,v_Intercept_subj.57,0.9994736842105264
158,v_Intercept_subj.54,0.9994736842105263
159,v_Intercept_subj.52,0.9994736842105264
160,v_Intercept_subj.53,0.9994736842105263
161,v_Intercept_subj.50,0.9994736842105264
162,t_subj.98,0.9994736842105263
163,t_subj.95,0.9994736842105262
164,t_subj.94,0.9994736842105264
165,t_subj.97,0.9994736842105262
166,t_subj.96,0.9994736842105263
167,t_subj.91,0.9994736842105263
168,t_subj.93,0.9994736842105262
169,t_subj.92,0.9994736842105265
170,v_Intercept_subj.29,0.9994736842105264
171,v_Intercept_subj.28,0.9994736842105262
172,v_Intercept_subj.22,0.9994736842105263
173,v_Intercept_subj.21,0.9994736842105263
174,v_Intercept_subj.20,0.9994736842105264
175,v_Intercept_subj.27,0.9994736842105263
176,v_Intercept_subj.26,0.9994736842105263
177,v_Intercept_subj.25,0.9994736842105263
178,v_Intercept_subj.24,0.9994736842105265
179,"v_C(stim, Treatment(0))[T.1]_subj.110",0.9994736842105262
180,"v_C(stim, Treatment(0))[T.1]_subj.112",0.9994736842105264
181,"v_C(stim, Treatment(0))[T.1]_subj.113",0.9994736842105263
182,"v_C(stim, Treatment(0))[T.1]_subj.114",0.9994736842105263
183,a_subj.6,0.9994736842105262
184,a_subj.4,0.9994736842105263
185,a_subj.5,0.9994736842105264
186,a_subj.3,0.9994736842105262
187,a_subj.1,0.9994736842105263
188,a_subj.8,0.9994736842105262
189,a_subj.9,0.9994736842105262
190,"v_C(stim, Treatment(0))[T.1]_subj.1",0.9994736842105263
191,"v_C(stim, Treatment(0))[T.1]_subj.3",0.9994736842105263
192,"v_C(stim, Treatment(0))[T.1]_subj.4",0.9994736842105263
193,"v_C(stim, Treatment(0))[T.1]_subj.5",0.9994736842105264
194,"v_C(stim, Treatment(0))[T.1]_subj.6",0.9994736842105263
195,"v_C(stim, Treatment(0))[T.1]_subj.8",0.9994736842105263
196,"v_C(stim, Treatment(0))[T.1]_subj.9",0.9994736842105263
197,v_Intercept_subj.58,0.9994736842105263
198,v_Intercept_subj.59,0.9994736842105264
199,a_subj.58,0.9994736842105263
200,a_subj.59,0.9994736842105263
201,t_subj.9,0.9994736842105263
202,t_subj.8,0.9994736842105264
203,a_subj.50,0.9994736842105263
204,t_subj.4,0.9994736842105263
205,a_subj.52,0.9994736842105263
206,a_subj.53,0.9994736842105264
207,a_subj.54,0.9994736842105263
208,a_subj.56,0.9994736842105262
209,a_subj.57,0.9994736842105264
210,"v_C(stim, Treatment(0))[T.1]_subj.85",0.9994736842105263
211,"v_C(stim, Treatment(0))[T.1]_subj.84",0.9994736842105264
212,"v_C(stim, Treatment(0))[T.1]_subj.87",0.9994736842105263
213,"v_C(stim, Treatment(0))[T.1]_subj.86",0.9994736842105264
214,"v_C(stim, Treatment(0))[T.1]_subj.81",0.9994736842105262
215,"v_C(stim, Treatment(0))[T.1]_subj.82",0.9994736842105263
216,"v_C(stim, Treatment(0))[T.1]_subj.89",0.9994736842105264
217,"v_C(stim, Treatment(0))[T.1]_subj.88",0.9994736842105264
218,"v_C(stim, Treatment(0))[T.1]_subj.78",0.9994736842105263
219,"v_C(stim, Treatment(0))[T.1]_subj.79",0.9994736842105262
220,"v_C(stim, Treatment(0))[T.1]_subj.70",0.9994736842105263
221,"v_C(stim, Treatment(0))[T.1]_subj.71",0.9994736842105263
222,"v_C(stim, Treatment(0))[T.1]_subj.72",0.9994736842105263
223,"v_C(stim, Treatment(0))[T.1]_subj.73",0.9994736842105263
224,"v_C(stim, Treatment(0))[T.1]_subj.74",0.9994736842105263
225,"v_C(stim, Treatment(0))[T.1]_subj.75",0.9994736842105263
226,"v_C(stim, Treatment(0))[T.1]_subj.76",0.9994736842105262
227,"v_C(stim, Treatment(0))[T.1]_subj.77",0.9994736842105264
228,t_subj.79,0.9994736842105264
229,t_subj.78,0.9994736842105263
230,t_subj.77,0.9994736842105263
231,t_subj.76,0.9994736842105263
232,t_subj.75,0.9994736842105264
233,t_subj.74,0.9994736842105263
234,t_subj.73,0.9994736842105264
235,t_subj.72,0.9994736842105262
236,t_subj.71,0.9994736842105263
237,t_subj.70,0.9994736842105263
238,v_Intercept_subj.67,0.9994736842105263
239,v_Intercept_subj.66,0.9994736842105263
240,v_Intercept_subj.65,0.9994736842105263
241,v_Intercept_subj.64,0.9994736842105264
242,v_Intercept_subj.63,0.9994736842105264
243,v_Intercept_subj.61,0.9994736842105263
