,parameter,rhat
0,t_subj.59,0.9994736842105263
1,t_subj.58,0.9994736842105262
2,t_subj.50,0.9994736842105263
3,t_subj.53,0.9994736842105263
4,t_subj.52,0.9994736842105262
5,t_subj.54,0.9994736842105263
6,t_subj.57,0.9994736842105263
7,t_subj.56,0.9994736842105263
8,t_subj.28,0.9994736842105262
9,t_subj.29,0.9994736842105263
10,t_subj.24,0.9994736842105263
11,t_subj.25,0.9994736842105263
12,t_subj.26,0.9994736842105263
13,t_subj.27,0.9994736842105264
14,t_subj.20,0.9994736842105263
15,t_subj.21,0.9994736842105264
16,t_subj.22,0.9994736842105263
17,t_subj.114,0.9994736842105263
18,t_subj.110,0.9994736842105264
19,t_subj.113,0.9994736842105263
20,t_subj.112,0.9994736842105263
21,v_Intercept_subj.98,0.9994736842105263
22,v_Intercept_subj.92,0.9994736842105263
23,v_Intercept_subj.93,0.9994736842105263
24,v_Intercept_subj.91,0.9994736842105263
25,v_Intercept_subj.96,0.9994736842105262
26,v_Intercept_subj.97,0.9994736842105264
27,v_Intercept_subj.94,0.9994736842105263
28,v_Intercept_subj.95,0.9994736842105263
29,t_subj.5,0.9994736842105263
30,a_subj.37,0.9994736842105264
31,a_subj.34,0.9994736842105263
32,a_subj.35,0.9994736842105263
33,a_subj.32,0.9994736842105263
34,a_subj.33,0.9994736842105263
35,a_subj.30,0.9994736842105264
36,a_subj.31,0.9994736842105264
37,t_subj.6,0.9994736842105263
38,a_subj.108,0.9994736842105263
39,a_subj.105,0.9994736842105263
40,a_subj.104,0.9994736842105264
41,a_subj.107,0.9994736842105263
42,a_subj.106,0.9994736842105263
43,a_subj.101,0.9994736842105264
44,a_subj.100,0.9994736842105263
45,a_subj.103,0.9994736842105264
46,a_subj.102,0.9994736842105264
47,t_subj.3,0.9994736842105263
48,"v_C(stim, Treatment(0))[T.1]_subj.56",0.9994736842105263
49,"v_C(stim, Treatment(0))[T.1]_subj.57",0.9994736842105263
50,"v_C(stim, Treatment(0))[T.1]_subj.54",0.9994736842105263
51,"v_C(stim, Treatment(0))[T.1]_subj.52",0.9994736842105263
52,"v_C(stim, Treatment(0))[T.1]_subj.53",0.9994736842105263
53,"v_C(stim, Treatment(0))[T.1]_subj.50",0.9994736842105264
54,"v_C(stim, Treatment(0))[T.1]_subj.58",0.9994736842105262
55,"v_C(stim, Treatment(0))[T.1]_subj.59",0.9994736842105264
56,a_subj.89,0.9994736842105264
57,a_subj.88,0.9994736842105262
58,a_subj.82,0.9994736842105264
59,a_subj.81,0.9994736842105263
60,a_subj.87,0.9994736842105263
61,a_subj.86,0.9994736842105262
62,a_subj.85,0.9994736842105264
63,a_subj.84,0.9994736842105262
64,t_subj.17,0.9994736842105264
65,t_subj.16,0.9994736842105264
66,t_subj.11,0.9994736842105263
67,t_subj.10,0.9994736842105262
68,t_subj.13,0.9994736842105263
69,t_subj.12,0.9994736842105263
70,t_subj.19,0.9994736842105263
71,t_subj.18,0.9994736842105264
72,v_Intercept_subj.49,0.9994736842105263
73,v_Intercept_subj.48,0.9994736842105263
74,v_Intercept_subj.41,0.9994736842105263
75,v_Intercept_subj.40,0.9994736842105262
76,v_Intercept_subj.43,0.9994736842105264
77,v_Intercept_subj.42,0.9994736842105263
78,v_Intercept_subj.45,0.9994736842105264
79,v_Intercept_subj.46,0.9994736842105265
80,v_Intercept_subj.107,0.9994736842105263
81,v_Intercept_subj.106,0.9994736842105263
82,v_Intercept_subj.105,0.9994736842105263
83,v_Intercept_subj.104,0.9994736842105263
84,v_Intercept_subj.103,0.9994736842105263
85,v_Intercept_subj.102,0.9994736842105263
86,v_Intercept_subj.101,0.9994736842105264
87,v_Intercept_subj.100,0.9994736842105262
88,v_Intercept_subj.108,0.9994736842105263
89,"v_C(stim, Treatment(0))[T.1]_subj.107",0.9994736842105263
90,"v_C(stim, Treatment(0))[T.1]_subj.106",0.9994736842105264
91,"v_C(stim, Treatment(0))[T.1]_subj.105",0.9994736842105264
92,"v_C(stim, Treatment(0))[T.1]_subj.104",0.9994736842105263
93,"v_C(stim, Treatment(0))[T.1]_subj.103",0.9994736842105264
94,"v_C(stim, Treatment(0))[T.1]_subj.102",0.9994736842105263
95,"v_C(stim, Treatment(0))[T.1]_subj.101",0.9994736842105264
96,"v_C(stim, Treatment(0))[T.1]_subj.100",0.9994736842105263
97,"v_C(stim, Treatment(0))[T.1]_subj.108",0.9994736842105265
98,"v_C(stim, Treatment(0))[T.1]_subj.98",0.9994736842105263
99,"v_C(stim, Treatment(0))[T.1]_subj.92",0.9994736842105264
100,"v_C(stim, Treatment(0))[T.1]_subj.93",0.9994736842105263
101,"v_C(stim, Treatment(0))[T.1]_subj.91",0.9994736842105263
102,"v_C(stim, Treatment(0))[T.1]_subj.96",0.9994736842105264
103,"v_C(stim, Treatment(0))[T.1]_subj.97",0.9994736842105264
104,"v_C(stim, Treatment(0))[T.1]_subj.94",0.9994736842105263
105,"v_C(stim, Treatment(0))[T.1]_subj.95",0.9994736842105263
106,a,0.9994736842105262
107,a_subj.46,0.9994736842105263
108,a_subj.45,0.9994736842105264
109,a_subj.43,0.9994736842105263
110,a_subj.42,0.9994736842105264
111,a_subj.41,0.9994736842105264
112,a_subj.40,0.9994736842105264
113,a_subj.49,0.9994736842105264
114,a_subj.48,0.9994736842105263
115,t_subj.48,0.9994736842105264
116,t_subj.49,0.9994736842105263
117,t_subj.42,0.9994736842105264
118,t_subj.43,0.9994736842105262
119,t_subj.40,0.9994736842105264
120,t_subj.41,0.9994736842105264
121,t_subj.46,0.9994736842105264
122,t_subj.45,0.9994736842105263
123,v_Intercept_subj.12,0.9994736842105263
124,v_Intercept_subj.13,0.9994736842105263
125,v_Intercept_subj.10,0.9994736842105264
126,v_Intercept_subj.11,0.9994736842105263
127,v_Intercept_subj.16,0.9994736842105263
128,v_Intercept_subj.17,0.9994736842105264
129,v_Intercept_subj.18,0.9994736842105262
130,v_Intercept_subj.19,0.9994736842105263
131,a_std,0.9994736842105263
132,"v_C(stim, Treatment(0))[T.1]_subj.41",0.9994736842105263
133,"v_C(stim, Treatment(0))[T.1]_subj.40",0.9994736842105264
134,"v_C(stim, Treatment(0))[T.1]_subj.43",0.9994736842105263
135,"v_C(stim, Treatment(0))[T.1]_subj.42",0.9994736842105263
136,"v_C(stim, Treatment(0))[T.1]_subj.45",0.9994736842105264
137,"v_C(stim, Treatment(0))[T.1]_subj.46",0.9994736842105263
138,"v_C(stim, Treatment(0))[T.1]_subj.49",0.9994736842105263
139,"v_C(stim, Treatment(0))[T.1]_subj.48",0.9994736842105264
140,a_subj.98,0.9994736842105263
141,a_subj.94,0.9994736842105262
142,a_subj.95,0.9994736842105263
143,a_subj.96,0.9994736842105264
144,a_subj.97,0.9994736842105263
145,a_subj.91,0.9994736842105263
146,a_subj.92,0.9994736842105263
147,a_subj.93,0.9994736842105263
148,v_Intercept,0.9994736842105263
149,"v_C(stim, Treatment(0))[T.1]_subj.34",0.9994736842105264
150,"v_C(stim, Treatment(0))[T.1]_subj.35",0.9994736842105264
151,"v_C(stim, Treatment(0))[T.1]_subj.37",0.9994736842105264
