,parameter,rhat
0,t_subj.59,0.9994736842105264
1,t_subj.58,0.9994736842105264
2,t_subj.50,0.9994736842105264
3,t_subj.53,0.9994736842105264
4,t_subj.52,0.9994736842105263
5,t_subj.54,0.9994736842105263
6,t_subj.57,0.9994736842105263
7,t_subj.56,0.9994736842105263
8,t_subj.28,0.9994736842105263
9,t_subj.29,0.9994736842105263
10,t_subj.24,0.9994736842105262
11,t_subj.25,0.9994736842105263
12,t_subj.26,0.9994736842105263
13,t_subj.27,0.9994736842105264
14,t_subj.20,0.9994736842105262
15,t_subj.21,0.9994736842105263
16,t_subj.22,0.9994736842105263
17,t_subj.114,0.9994736842105263
18,t_subj.110,0.9994736842105262
19,t_subj.113,0.9994736842105262
20,t_subj.112,0.9994736842105264
21,v_Intercept_subj.98,0.9994736842105262
22,v_Intercept_subj.92,0.9994736842105263
23,v_Intercept_subj.93,0.9994736842105264
24,v_Intercept_subj.91,0.9994736842105263
25,v_Intercept_subj.96,0.9994736842105264
26,v_Intercept_subj.97,0.9994736842105263
27,v_Intercept_subj.94,0.9994736842105264
28,v_Intercept_subj.95,0.9994736842105263
29,t_subj.5,0.9994736842105263
30,a_subj.37,0.9994736842105264
31,a_subj.34,0.9994736842105263
32,a_subj.35,0.9994736842105263
33,a_subj.32,0.9994736842105263
34,a_subj.33,0.9994736842105263
35,a_subj.30,0.9994736842105263
36,a_subj.31,0.9994736842105263
37,t_subj.6,0.9994736842105263
38,a_subj.108,0.9994736842105265
39,a_subj.105,0.9994736842105264
40,a_subj.104,0.9994736842105263
41,a_subj.107,0.9994736842105264
42,a_subj.106,0.9994736842105264
43,a_subj.101,0.9994736842105264
44,a_subj.100,0.9994736842105264
45,a_subj.103,0.9994736842105263
46,a_subj.102,0.9994736842105264
47,t_subj.3,0.9994736842105264
48,"v_C(stim, Treatment(0))[T.1]_subj.56",0.9994736842105263
49,"v_C(stim, Treatment(0))[T.1]_subj.57",0.9994736842105263
50,"v_C(stim, Treatment(0))[T.1]_subj.54",0.9994736842105262
51,"v_C(stim, Treatment(0))[T.1]_subj.52",0.9994736842105262
52,"v_C(stim, Treatment(0))[T.1]_subj.53",0.9994736842105263
53,"v_C(stim, Treatment(0))[T.1]_subj.50",0.9994736842105263
54,"v_C(stim, Treatment(0))[T.1]_subj.58",0.9994736842105263
55,"v_C(stim, Treatment(0))[T.1]_subj.59",0.9994736842105263
56,a_subj.89,0.9994736842105263
57,a_subj.88,0.9994736842105262
58,a_subj.82,0.9994736842105263
59,a_subj.81,0.9994736842105264
60,a_subj.87,0.9994736842105264
61,a_subj.86,0.9994736842105263
62,a_subj.85,0.9994736842105263
63,a_subj.84,0.9994736842105263
64,t_subj.17,0.9994736842105264
65,t_subj.16,0.9994736842105263
66,t_subj.11,0.9994736842105263
67,t_subj.10,0.9994736842105264
68,t_subj.13,0.9994736842105264
69,t_subj.12,0.9994736842105262
70,t_subj.19,0.9994736842105262
71,t_subj.18,0.9994736842105263
72,v_Intercept_subj.49,0.9994736842105263
73,v_Intercept_subj.48,0.9994736842105263
74,v_Intercept_subj.41,0.9994736842105263
75,v_Intercept_subj.40,0.9994736842105264
76,v_Intercept_subj.43,0.9994736842105263
77,v_Intercept_subj.42,0.9994736842105264
78,v_Intercept_subj.45,0.9994736842105263
79,v_Intercept_subj.46,0.9994736842105263
80,v_Intercept_subj.107,0.9994736842105262
81,v_Intercept_subj.106,0.9994736842105263
82,v_Intercept_subj.105,0.9994736842105263
83,v_Intercept_subj.104,0.9994736842105264
84,v_Intercept_subj.103,0.9994736842105264
85,v_Intercept_subj.102,0.9994736842105262
86,v_Intercept_subj.101,0.9994736842105264
87,v_Intercept_subj.100,0.9994736842105263
88,v_Intercept_subj.108,0.9994736842105264
89,"v_C(stim, Treatment(0))[T.1]_subj.107",0.9994736842105263
90,"v_C(stim, Treatment(0))[T.1]_subj.106",0.9994736842105264
91,"v_C(stim, Treatment(0))[T.1]_subj.105",0.9994736842105264
92,"v_C(stim, Treatment(0))[T.1]_subj.104",0.9994736842105263
93,"v_C(stim, Treatment(0))[T.1]_subj.103",0.9994736842105263
94,"v_C(stim, Treatment(0))[T.1]_subj.102",0.9994736842105263
95,"v_C(stim, Treatment(0))[T.1]_subj.101",0.9994736842105263
96,"v_C(stim, Treatment(0))[T.1]_subj.100",0.9994736842105264
97,"v_C(stim, Treatment(0))[T.1]_subj.108",0.9994736842105264
98,"v_C(stim, Treatment(0))[T.1]_subj.98",0.9994736842105263
99,"v_C(stim, Treatment(0))[T.1]_subj.92",0.9994736842105263
100,"v_C(stim, Treatment(0))[T.1]_subj.93",0.9994736842105263
101,"v_C(stim, Treatment(0))[T.1]_subj.91",0.9994736842105264
